Niger,Niamey,13.52,2.12
Nigeria,Abuja,9.08,7.53
Nigeria,Lagos,6.27,3.24
North Korea,Pyongyang,39.02,125.75
North Macedonia,Skopje,42,21.43
Norway,Oslo,59.92,10.75
Oman,Muscat,23.62,58.58
Pakistan,Islamabad,33.68,73.05
Palau,Ngerulmud,7.5,134.62
Panama,Panama City,8.97,-79.53
Papua New Guinea,Port Moresby,-9.45,147.18
Paraguay,Asuncion,-25.28,-57.57
Peru,Lima,-12.05,-77.05
Philippines,Manila,14.6,120.97
Poland,Warsaw,52.25,21
Portugal,Lisbon,38.72,-9.13
Qatar,Doha,25.28,51.53
Romania,Bucharest,44.43,26.1
Russia,Moscow,55.75,37.6
Russia,Saint Petersberg,59.56,30.20
Russia,Novosibirsk,55.01,82.56
Russia,Volgograd,48.42,44.31
Russia,Irkutsk,52.17,104.18
Russia,Vladivostok,43.07,131.55
Rwanda,Kigali,-1.95,30.05
Saint Kitts and Nevis,Basseterre,17.3,-62.72
Saint Lucia,Castries,14,-61
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22
Samoa,Apia,-13.82,-171.77
San Marino,San Marino,43.94,12.45
Sao Tome and Principe,Sao Tome,0.34,6.73
Saudi Arabia,Riyadh,24.65,46.7
Saudi Arabia,Mecca,21.25,39.49
Senegal,Dakar,14.73,-17.63
Serbia,Belgrade,44.83,20.5
Seychelles,Victoria,-4.62,55.45
Sierra Leone,Freetown,8.48,-13.23
Singapore,Singapore,1.28,103.85
Slovenia,Ljubljana,46.05,14.52
Solomon Islands,Honiara,-9.43,159.95
Somalia,Mogadishu,2.07,45.33
South Africa,Pretoria,-25.7,28.22
South Africa,Cape Town,-33.55,18.25
South Korea,Seoul,37.55,126.98
South Sudan,Juba,4.85,31.62
Spain,Madrid,40.4,-3.68
Sri Lanka,Colombo/Kotte,6.56,79.50
Sudan,Khartoum,15.6,32.53
Suriname,Paramaribo,5.83,-55.17
Sweden,Stockholm,59.33,18.05
Switzerland,Bern,46.92,7.47
Syria,Damascus,33.5,36.3
Taiwan,Taipei,25.02,121.34
Tajikistan,Dushanbe,38.55,68.77
Tanzania,Dodoma,-6.16,35.75
